Make,Model,Series,Trim,Engine model,Environmetal standard,Potencia(cm3),Engine Power(bhp),Torque(Nm),Engine Type,No of Cylinders,Fuel,Max speed (km/h),Payload,Amount of gear,Curb vehicle weight(kg),Gross vehicle weight(kg),Engine power at rpm (min-1),Torque at rpm (min-1)
Dacia,Logan Van,Logan Van,1.4i,,EURO IV,1390,75,112,Gasoline,4,92 RON,162,,5,1050,,5500,4250
DFSK,V21,V21,1.3i,,EURO V,1300,81,102,Gasoline,,95 RON,,890,5,1068,1915,6000,3000-3500
DFSK,V22,V22,1.3i,,EURO V,1300,81,102,Gasoline,,95 RON,,550,5,1164,1960,6000,3000-3500
DFSK,V25,V25,1.3i,,EURO V,1300,81,102,Gasoline,,95 RON,,,5,1147,1778,6000,3000-3500
Fiat,Doblo,Doblo Combianto,1.3 JTD MultiJet ,,EURO IV,1248,90,200,Diesel,4,Diesel ,156,615,5,1405,2020,4000,1500
Fiat,Doblo,Doblo Combianto,1.4i,,EURO IV,1368,95,127,Gasoline,4,95 RON,161,615,5,1375,1990,6000,4500
Fiat,Doblo,Doblo Combianto,1.4TJet,,EURO IV,1368,120,206,Gasoline,4,95 RON,172,625,5,1440,2065,5000,2000
Fiat,Doblo,Doblo Combianto,1.6 JTD MultiJet,,EURO IV,1598,105,290,Diesel,4,Diesel ,164,615,5,1445,2060,4000,1500
Fiat,Doblo,Doblo Combianto,2.0 JTD MultiJet,,EURO IV,1956,135,320,Diesel,4,Diesel ,179,615,6,1485,2100,3500,1500
Fiat,Ducato,Ducato II Bus,2.2 Hdi,,EURO IV,2179,100,240,Diesel,4,Diesel ,150,,5,,3500,4000,1900
Fiat,Ducato,Ducato II van,2.2 HDi,,EURO IV,2179,100,240,Diesel,4,Diesel ,145,,5,,3500,4000,1900
Fiat,Ducato,Ducato III / Chassis,2.2 JTD,,EURO IV,2198,100,250,Diesel,4,Diesel ,,1275,5,,3300,2900,1500
Fiat,Ducato,Ducato III / Minibus,2.0 JTD MultiJet,,EURO IV,1956,115,280,Diesel,4,Diesel ,148,1090,5,1910,3000,3700,1500
Fiat,Ducato,Ducato III / Minibus,2.3 JTD,,EURO IV,2287,120,320,Diesel,4,Diesel ,155,,6,2100,3000,3600,2000
Fiat,Ducato,Ducato III / Minibus,3.0 JTD,,EURO IV,2999,157,400,Diesel,4,Diesel ,165,,6,2150,3000,3500,1700
Fiat,Ducato,Ducato III / Minibus,3.0 JTD MultiJet,,EURO IV,2999,177,400,Diesel,4,Diesel ,162,1075,6,1925,3000,3500,1400
Fiat,Ducato,Ducato III / Van,2.2 JTD,,EURO IV,2198,100,250,Diesel,4,Diesel ,140,1400,5,2100,3500,2900,1500
Fiat,Fiorino,Fiorino Cargo,1.4 8V,,EURO IV,1360,73,118,Gasoline,4,95 RON,157,600,,1145,1745,5200,2600
Ford,Ranger,Ranger VI,3.2TDCi,Duratorq DTCi,EURO IV,3127,200,470,Diesel,5,Diesel ,,1127,6,2073,,3000,2750
Ford,Tourneo,Tourneo Bus,2.2 TDCi,Duratorq DTCi,EURO IV,2200,110,285,Diesel,4,Diesel ,,943,5,1857,,3500,1750
